iter	Logloss
0	0.5745231534
1	0.4923125138
2	0.4285792966
3	0.363418389
4	0.3217143156
5	0.2896390399
6	0.266568651
7	0.2469339069
8	0.2322187229
9	0.2164582021
10	0.2058078593
11	0.1972881038
12	0.188974182
13	0.1816583186
14	0.1754782489
15	0.1709856654
16	0.1681406497
17	0.1655506148
18	0.1622577303
19	0.1586796632
20	0.1577669221
21	0.1555329068
22	0.1547433588
23	0.154019777
24	0.1511576936
25	0.1504090097
26	0.1487053869
27	0.1468540319
28	0.1466065123
29	0.1455495451
30	0.1448233496
31	0.1447756709
32	0.1441637353
33	0.1440521436
34	0.1436805701
35	0.1436153229
36	0.1435727315
37	0.1433065955
38	0.1431558163
39	0.1431310875
40	0.1430398918
41	0.1430337617
42	0.1428583112
43	0.1427377751
44	0.1424150152
45	0.1424124858
46	0.1419240315
47	0.1417005073
48	0.1412814457
49	0.1412688357
50	0.1411058719
51	0.1407745564
52	0.1403771919
53	0.1401604373
54	0.1397724972
55	0.1397172544
56	0.1396411848
57	0.1395891167
58	0.139401301
59	0.1392582715
60	0.1392336219
61	0.1392235237
62	0.1392235033
63	0.139079712
64	0.139079642
65	0.1388635463
66	0.1388592087
67	0.1388372199
68	0.1388223777
69	0.1388115983
70	0.1388114912
71	0.138801369
72	0.1387682262
73	0.1386821123
74	0.1385729202
75	0.1385402198
76	0.1385165355
77	0.1384850173
78	0.1383596624
79	0.1382624976
80	0.1382206686
81	0.1382158307
82	0.1381821187
83	0.1381820848
84	0.138123171
85	0.138082395
86	0.1380495732
87	0.1378372542
88	0.1377353171
89	0.1376876615
90	0.1376860744
91	0.137683267
92	0.1376789208
93	0.1376290568
94	0.1375966473
95	0.1375340411
96	0.1375339203
97	0.1375338175
98	0.1375242369
99	0.1375226996
100	0.1375211752
101	0.1374988707
102	0.1374988556
103	0.1373977819
104	0.1373977635
105	0.1373246506
106	0.1372813396
107	0.137262755
108	0.1372144968
109	0.1370955447
110	0.1370653849
111	0.1370652817
112	0.1370651939
113	0.1370465614
114	0.1370465525
115	0.1370415393
116	0.1370415097
117	0.1369148243
118	0.1369145832
119	0.1369116201
120	0.1369013209
121	0.1369013119
122	0.1368423735
123	0.136841238
124	0.1368409507
125	0.1368409384
126	0.1368329195
127	0.1368128873
128	0.1368126516
129	0.1367715617
130	0.1367715361
131	0.1367321455
132	0.1367203482
133	0.1367165335
134	0.1365928769
135	0.1365758955
136	0.1365758647
137	0.1365758385
138	0.1365696827
139	0.1365690011
140	0.1365689843
141	0.1365506541
142	0.136467136
143	0.1364620616
144	0.1364041564
145	0.1363899222
146	0.1363736921
147	0.1363701125
148	0.1363225971
149	0.1362849193
150	0.1362833121
151	0.1362830565
152	0.1361937341
153	0.1361915009
154	0.136145127
155	0.136084712
156	0.1360846288
157	0.1360744901
158	0.1360719102
159	0.1360603876
160	0.1360193852
161	0.1359210294
162	0.1359163484
163	0.1359067745
164	0.1359017936
165	0.1358735425
166	0.1358717982
167	0.1357909776
168	0.1357363368
169	0.1357116298
170	0.1356804815
171	0.1356612576
172	0.1356239524
173	0.1356219983
174	0.1356113417
175	0.1356086067
176	0.135603765
177	0.1356000825
178	0.1355933024
179	0.1355742131
180	0.1354816313
181	0.1354345663
182	0.1354337703
183	0.1353836223
184	0.135377019
185	0.1353430465
186	0.1352963731
187	0.1352888465
188	0.1352715134
189	0.1352648562
190	0.1352535405
191	0.1351120784
192	0.1351064649
193	0.135091298
194	0.1350454105
195	0.1350315317
196	0.135001471
197	0.1349269319
198	0.1348979014
199	0.1348839579
200	0.1348752154
201	0.134857917
202	0.1348500782
203	0.1348461825
204	0.1348431583
205	0.1348354732
206	0.1348287579
207	0.1348197097
208	0.1348168815
209	0.134811068
210	0.1348051353
211	0.1347951985
212	0.1347811131
213	0.1347543313
214	0.1347036195
215	0.1347009357
216	0.1347005635
217	0.1346647701
218	0.1346379407
219	0.1346083395
220	0.1346049785
221	0.1345939626
222	0.1345881669
223	0.1345841601
224	0.1345721832
225	0.134444658
226	0.1344158817
227	0.1344056862
228	0.1344015509
229	0.134384038
230	0.1343613829
231	0.1343587304
232	0.1343530478
233	0.134346119
234	0.1343438343
235	0.1343400249
236	0.1343379637
237	0.1343362152
238	0.134325792
239	0.1343226792
240	0.1342707442
241	0.1342692553
242	0.1342390041
243	0.1342372841
244	0.1342221397
245	0.1341690395
246	0.1341409064
247	0.1341116906
248	0.134103416
249	0.134085413
250	0.1340711274
251	0.1340568532
252	0.1340339196
253	0.134026237
254	0.1339862765
255	0.1339768835
256	0.1339737282
257	0.1339707701
258	0.1339656117
259	0.1339538518
260	0.1338822244
261	0.1338706244
262	0.1338657755
263	0.1338657429
264	0.1338648121
265	0.1338456243
266	0.1338456243
267	0.1338428965
268	0.1338367098
269	0.1338305916
270	0.1338129387
271	0.1338102739
272	0.1337860259
273	0.1337635238
274	0.133760747
275	0.1337527875
276	0.1337527368
277	0.1337361715
278	0.1337147156
279	0.133713816
280	0.1337116183
281	0.133691264
282	0.1336715662
283	0.1336715026
284	0.1336706149
285	0.1336705603
286	0.1336333224
287	0.1336085177
288	0.1336071941
289	0.1336039591
290	0.1336016938
291	0.1335908864
292	0.1335800913
293	0.1335563264
294	0.1335518259
295	0.1335375167
296	0.1335342155
297	0.133532478
298	0.1335308782
299	0.1335307518
300	0.1334708307
301	0.1334695213
302	0.1334685476
303	0.1334673969
304	0.1334514859
305	0.1334262542
306	0.1334238724
307	0.1334133597
308	0.1333650246
309	0.1333390852
310	0.1333353671
311	0.1333274273
312	0.1333076541
313	0.1333001689
314	0.1332991844
315	0.1332948959
316	0.1332855751
317	0.133276512
318	0.1332722468
319	0.1332713915
320	0.1332207405
321	0.1332159917
322	0.1332080883
323	0.1331646137
324	0.1331447041
